Date,East Midlands ,East of England,London,North East,North East,South East,South West,West Midlands,Yorkshire and The Humber,Northern Ireland,Scotland ,Wales
01/01/2017,5,7,10,6,6,10,5,7,7,9,5,3
01/02/2017,4,7,6,5,6,6,5,7,7,4,4,3
01/03/2017,3,3,5,6,5,5,4,3,6,3,3,3
01/04/2017,4,4,4,4,4,4,4,4,5,3,4,3
01/05/2017,4,4,4,4,5,5,4,4,4,4,4,4
01/06/2017,3,5,7,3,5,7,7,5,4,3,3,5
01/07/2017,3,4,5,3,3,5,4,4,3,4,3,4
01/08/2017,3,4,4,3,3,5,5,4,3,4,3,3
01/09/2017,3,4,5,4,3,4,3,4,4,3,3,3
01/10/2017,3,3,4,3,3,3,3,3,3,3,3,3
01/11/2017,4,6,4,2,4,6,4,6,4,5,4,3
01/12/2017,5,4,4,3,4,4,6,3,6,3,5,3
01/01/2018,3,5,4,4,3,3,3,4,3,6,3,3
01/02/2018,5,3,4,3,3,5,4,3,3,4,5,3
01/03/2018,3,5,9,5,5,8,5,8,7,3,3,3
01/04/2018,4,3,5,4,4,8,4,4,6,4,4,4
01/05/2018,5,4,5,5,6,6,7,6,6,5,5,5
01/06/2018,5,5,6,4,8,6,6,5,5,7,5,6
01/07/2018,4,5,6,4,5,7,7,6,6,4,4,6
01/08/2018,3,4,5,3,3,5,4,4,3,3,3,4
01/09/2018,3,3,4,3,3,5,4,3,4,3,3,3
01/10/2018,3,3,5,3,3,6,3,3,4,3,3,3
01/11/2018,3,3,5,10,7,4,4,5,10,4,3,4
01/12/2018,3,3,5,4,3,3,3,3,3,4,3,3
