Date,East Midlands ,East of England,London,North East,North East,South East,South West,West Midlands,Yorkshire and The Humber,Northern Ireland,Scotland ,Wales
2017-01-01,0,0,0,0,0,0,0,0,0,0,0,0
2017-02-01,0,0,0,0,0,0,0,0,0,0,0,0
2017-03-01,0,0,0,0,0,0,0,0,0,0,0,0
2017-04-01,8455,10795,12180,4820,14530,13670,9420,11135,10860,0,45,360
2017-05-01,9640,12055,13700,5410,16300,15465,10215,12295,12320,15,45,405
2017-06-01,9365,11970,13265,5645,16345,15300,10155,12200,12310,10,35,410
2017-07-01,9320,11725,13150,5425,16450,14910,10020,11935,11985,20,80,405
2017-08-01,9120,11835,13230,5345,15910,14905,10005,11945,11690,0,45,390
2017-09-01,9195,11995,13490,5475,16705,14995,10225,12220,11700,10,45,400
2017-10-01,9705,12535,13920,5540,17475,15870,10810,12655,12330,0,50,415
2017-11-01,9765,12750,14290,5780,17385,15835,10675,12520,12530,0,30,375
2017-12-01,8685,11350,12795,5070,15340,14220,9635,11210,11040,0,40,345
2018-01-01,9650,12605,14445,5755,16740,15625,10740,12745,11975,15,40,370
2018-02-01,8595,11245,13275,5230,15390,14350,9895,11615,10800,0,25,365
2018-03-01,8965,12440,14165,5895,16495,15540,10345,12665,11475,0,30,405
2018-04-01,9000,12125,14100,5430,16085,15325,10250,12500,11100,0,35,385
2018-05-01,9790,12790,15060,5810,17290,16360,11015,13550,12110,20,40,435
2018-06-01,9270,12740,14500,5545,17065,16055,10650,13105,11455,10,30,435
2018-07-01,9605,13045,15010,6115,17280,16460,10945,13530,11980,10,60,440
2018-08-01,9445,12550,14105,5690,16990,15855,10695,13560,11675,10,50,450
2018-09-01,9400,12260,14525,5735,17035,16025,10335,13685,11425,0,30,440
2018-10-01,10475,13650,15950,6270,18060,17310,12105,15240,12605,10,35,440
2018-11-01,10080,13595,15960,6210,17935,17215,11345,14810,12165,15,25,485
2018-12-01,9260,12125,14800,5580,15985,15215,10310,13615,11100,0,25,435
