Date,Nitric Oxide (ug/m3),Nitrogen Dioxide (ug/m3),Oxides of Nitrogen (ug/m3),Ozone (ug/m3),PM10 Particulate (ug/m3),PM2.5 Particulate (ug/m3),Sulphur Dioxide (ug/m3)
2017-01-01,51,51,129,16,25,21,3
2017-02-01,14,34,55,33,21,16,4
2017-03-01,9,32,46,44,18,12,4
2017-04-01,8,29,41,51,18,11,3
2017-05-01,7,27,38,48,18,11,3
2017-06-01,6,23,32,51,16,10,3
2017-07-01,6,21,27,42,13,8,3
2017-08-01,8,24,33,37,14,9,1
2017-09-01,10,28,39,31,14,10,1
2017-10-01,14,29,46,32,16,9,3
2017-11-01,25,39,76,24,17,12,3
2017-12-01,18,36,63,29,13,9,2
2018-01-01,14,32,49,36,15,11,2
2018-02-01,13,35,51,36,17,12,1
2018-03-01,10,34,46,42,20,14,2
2018-04-01,7,29,37,51,21,15,1
2018-05-01,6,28,35,60,24,16,4
2018-06-01,5,20,26,56,17,9,2
2018-07-01,4,23,28,63,19,10,2
2018-08-01,6,21,28,37,12,6,2
2018-09-01,10,26,40,41,14,8,1
2018-10-01,14,31,50,30,15,9,3
2018-11-01,18,34,62,24,20,13,2
2018-12-01,19,33,63,31,15,9,2
