Date,East Midlands,East of England,London,North East,North West,South East,South West,West Midlands,Yorkshire and The Humber,Northern Ireland,Scotland,Wales
01/01/2017,52,42,32,38,56,29,58,38,40,56,29,40
01/02/2017,44,31,24,33,46,20,53,27,37,46,20,30
01/03/2017,38,31,28,37,50,23,42,27,36,50,23,28
01/04/2017,37,32,26,25,48,20,44,26,28,48,20,22
01/05/2017,28,26,22,26,42,14,44,20,26,42,14,24
01/06/2017,25,26,18,23,47,12,35,19,24,47,12,14
01/07/2017,25,27,15,22,44,11,31,19,21,44,11,15
01/08/2017,30,25,19,21,53,15,33,19,25,53,15,15
01/09/2017,32,25,22,26,57,19,37,25,32,57,19,21
01/10/2017,35,24,22,27,55,16,34,20,33,55,16,24
01/11/2017,46,33,35,34,65,28,39,33,42,65,28,33
01/12/2017,45,29,32,34,56,33,35,36,37,56,33,29
01/01/2018,41,28,25,34,50,25,36,29,38,50,25,27
01/02/2018,41,31,27,38,52,25,43,27,39,52,25,29
01/03/2018,37,29,27,30,47,19,41,24,34,47,19,28
01/04/2018,33,24,23,32,40,15,37,21,28,40,15,27
01/05/2018,31,22,24,22,47,13,41,21,23,47,13,25
01/06/2018,25,20,13,18,49,13,36,16,20,49,13,22
01/07/2018,27,27,18,17,41,11,38,20,20,41,11,15
01/08/2018,27,25,17,21,44,15,32,19,21,44,15,12
01/09/2018,33,28,22,25,51,15,38,23,27,51,15,20
01/10/2018,35,27,26,28,58,19,40,26,30,58,19,24
01/11/2018,34,26,27,36,50,17,45,24,35,50,17,28
01/12/2018,43,29,26,41,54,28,40,30,42,54,28,27
